
2022/11/14 (11:56:54) | ===> btop++ v.1.2.13
2022/11/14 (11:56:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/15 (17:13:38) | ===> btop++ v.1.2.13
2022/11/15 (17:13:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2022/11/15 (17:22:40) | INFO: Logger set to INFO
2022/11/15 (17:22:41) | INFO: Logger set to DEBUG
2022/11/15 (17:22:47) | INFO: Logger set to DEBUG
2022/11/15 (17:22:48) | INFO: Logger set to INFO
2022/11/15 (17:22:52) | INFO: Logger set to INFO
2022/11/15 (17:22:52) | INFO: Logger set to DEBUG
